,storm_speed,srh,srh_left,srh_right,bulk_shear,tornado,ef_rating,cape,cin
0,10.6,,,,9.555146223192885,0,,1896.9479284141883,0.0
1,16.4,,,,16.791804178259316,1,0.0,772.2450402336385,-111.63775337237581
2,17.1,,,,7.232977067879642,0,,1019.8554287919186,-22.429126915396033
3,20.3,,,,16.36373608270817,0,,1186.2904169111123,-113.76694918658893
4,4.9,,,,4.036087214122113,1,0.0,0.0,0.0
5,3.0,,,,,0,,717.2111018796913,-40.74180513272721
6,3.0,,,,12.328565852081228,0,,2944.297573277441,-72.9770736153276
7,1.9,,,,7.053647823547733,0,,1933.1514330706152,0.0
8,2.1,,,,,0,,190.92099293263198,-38.21207464422606
9,8.1,,,,5.752726667079158,1,1.0,0.0,0.0
10,4.6,,,,13.349899896584223,1,1.0,2857.3671232754223,-14.252051623909413
11,8.8,,,,,1,0.0,0.0,0.0
12,8.5,,,,7.784750007017787,1,0.0,2028.8226150244368,-40.81656258095299
13,8.5,,,,6.095623135709308,1,0.0,240.4088574359377,-3.2959127380804736
14,7.6,,,,10.317666208042434,1,0.0,933.0591382124203,-67.34288536683137
15,9.8,,,,,1,0.0,1242.8936723069967,-103.58934910392546
16,8.3,,,,10.01868199483105,1,0.0,302.95571808182154,-557.187521031553
17,4.9,,,,5.821101151812691,0,,1853.0097290045214,-80.315890685002
18,5.8,,,,12.029372187583737,0,,0.025024714445285753,-158.41693809235517
19,13.6,,,,,0,,9.647987257717787,-83.58733147882975
20,12.9,,,,9.0873469007206,0,,2325.001446168952,-98.09471039742576
21,16.3,,,,3.1830859601255503,0,,1795.3584126552266,0.0
22,15.7,,,,,0,,1050.29377761837,-117.93989172615248
23,21.2,,,,,0,,423.63178826888844,-34.554533981140075
24,13.2,,,,5.193780077604401,1,1.0,1210.6057955503397,-122.45696874324835
25,11.3,,,,,1,1.0,0.0,0.0
26,8.3,,,,8.400863338254506,1,1.0,517.3610515094459,-266.7826757680299
27,17.7,,,,8.132511794859774,0,,3.183022897409536,-196.44217117245412
28,17.8,,,,,0,,294.0817886898889,-25.69708491390679
29,13.1,,,,,0,,8.177500807211844,-18.240695220260342
30,13.1,,,,4.6841990939120155,0,,65.6595627466468,-35.2691550069766
31,7.9,,,,2.6283870279824373,0,,1100.2088737215747,0.0
32,4.1,,,,2.083078155265942,0,,696.9155707169581,0.0
33,4.7,,,,4.6224602632426235,0,,970.5207622922545,0.0
34,4.0,,,,7.465346711577599,0,,244.90107020727362,-16.765384002664454
35,4.0,,,,3.0413812651491092,0,,0.749098908814389,0.0
36,7.2,,,,3.5328964311414452,0,,724.8495221985793,-23.599202409412456
37,2.4,,,,7.018273554456495,0,,1283.5740215533328,0.0
38,4.8,,,,2.086173903470045,0,,413.8904026250424,-16.393037748833716
39,2.3,,,,,0,,636.9787645357853,-8.250504005020439
40,3.9,,,,2.662572738368216,0,,838.5967861256757,0.0
41,3.7,,,,,0,,587.587623646009,0.0
42,3.8,,,,4.529590827568231,0,,391.74300072673697,-8.663234503249722
43,1.2,,,,,0,,0.0,0.0
44,1.6,,,,,0,,2.940222868934517,0.0
45,7.2,,,,10.116299140304646,1,0.0,1250.472123639881,-11.090897973813846
46,8.3,,,,3.981671323349955,1,0.0,1252.9418814732653,-68.89165194125695
47,12.3,,,,,1,0.0,10.276258338220957,-18.790960075905044
48,9.7,,,,,0,,2992.6875625380035,-39.11238360944377
49,11.2,,,,2.8866272668689255,0,,3245.4969257243583,-43.816090258883754
50,11.7,,,,3.218125287832667,1,3.0,184.89306425740006,0.0
51,11.0,,,,15.197461986705889,0,,1991.9302940680927,-54.38082266146264
52,13.3,,,,3.346204087366664,0,,2957.4752376407023,-93.67047742638434
53,15.3,,,,4.166198642867639,0,,2542.1040219068955,-61.160191183549614
54,13.3,,,,4.763382372000462,0,,153.24604029269597,-172.14684836338955
55,16.2,,,,5.010529559787263,0,,3768.3788691951745,-218.71335244377113
56,13.2,,,,7.361212530910077,1,0.0,181.06993872914006,-193.4620787745614
57,13.5,,,,6.938424938356923,0,,45.67012367085912,-336.5807908740395
58,15.8,,,,7.008714563478743,1,1.0,1267.2653984031333,0.0
59,15.0,,,,4.506554036625458,1,1.0,0.0,0.0
60,10.6,,,,6.8957580681029755,0,,1714.24140835825,-15.254832121431956
61,12.6,,,,10.681388239344011,0,,17.03595886247609,-353.76319485365065
62,13.8,,,,7.10605259184824,0,,1398.33343984092,-0.8684752315002541
63,15.0,,,,,0,,536.7929677704982,-279.42258023459084
64,15.4,,,,8.602476226658753,0,,2016.8295799875216,-8.868547637622022
65,21.5,,,,16.55593841335917,0,,0.0,0.0
66,17.9,,,,19.529321179587978,1,2.0,612.09728844008,-292.29838412815604
67,19.0,,,,7.889893248766588,1,2.0,1282.8032031788157,-10.071345770979061
68,19.0,,,,,1,2.0,25.869329710992357,0.0
69,19.5,,,,19.133982321810286,1,2.0,2577.2953203430507,-9.636883727702408
70,16.1,,,,18.291355542908637,1,0.0,1371.7909710933682,-16.044138527768087
71,15.6,,,,23.50451406684429,1,0.0,1179.017417691272,-15.50130426900419
72,10.8,,,,1.3524100367732035,0,,1969.1569562574707,-18.811106605976676
73,9.1,,,,,0,,0.0,0.0
74,13.3,,,,,0,,1241.1867629168212,-123.4023212338637
75,8.1,,,,6.015415641240164,0,,429.6352998397834,-26.69875920597934
76,13.2,,,,3.0400809950043635,0,,135.34464199299066,-22.3991406191297
77,13.4,,,,8.683761832435934,0,,238.27278964576493,-0.9711203215637905
78,14.2,,,,13.199755390339607,0,,2242.6533379277093,0.0
79,19.0,,,,12.656294647698912,1,3.0,3428.9290466259026,-4.006169948346734
80,14.6,,,,9.063798923620176,1,0.0,351.5468465552285,-2.689104772442131
81,16.1,,,,,1,0.0,92.27792095692674,-9.376496899796454
82,10.9,,,,13.40055120641468,0,,2273.968109896796,0.0
83,21.9,,,,7.674113193427297,1,0.0,1977.630560699296,-8.039789027227354
84,21.6,,,,9.769557843809135,0,,2329.949081198751,-48.12297631381376
85,21.6,,,,,0,,202.27731246488614,0.0
86,21.6,,,,14.616004928041102,0,,991.5770196627316,-13.130639511870578
87,15.3,,,,,1,1.0,0.0,0.0
88,16.4,,,,25.043429596052306,1,1.0,1313.8907076049761,-19.735408921915752
89,16.7,,,,17.7473972242295,1,1.0,18.84936528328404,-11.192813057900299
90,16.3,,,,23.34267828694892,0,,1330.3074133243226,-127.38375096870635
91,18.9,,,,,1,0.0,2.5361582037772457,-79.4932868719119
92,18.9,,,,12.986531484580476,1,0.0,0.0,0.0
93,18.6,,,,9.146828295993496,1,0.0,0.0,0.0
94,11.8,,,,26.490423949577202,1,0.0,129.46116313904,-112.74620907034607
95,17.2,,,,3.4234609338779927,1,3.0,4189.608747087624,0.0
96,10.7,,,,3.377206634222912,1,0.0,2595.603578928691,-81.44656425565113
97,10.6,,,,12.365338268184878,1,3.0,16.63407608454272,-47.58417908226688
98,10.6,,,,,1,3.0,18.15847446843552,-70.92478539395277
99,9.6,,,,6.898472840144591,1,3.0,101.71117707266176,-17.891533626466888
100,9.6,,,,9.077055899135276,1,3.0,50.71969637308015,-80.59378221882358
101,13.1,,,,16.90550885638454,1,3.0,431.3787794778428,-325.1925349714696
102,18.7,,,,12.289540678365489,0,,2624.8072393698867,0.0
103,18.2,,,,,0,,191.0544611126475,-10.857555883135255
104,14.2,,,,20.710091738126295,0,,-60.5207975645806,-202.58925542132712
105,17.7,,,,12.739309243440163,0,,0.0,0.0
106,9.1,,,,14.580089209952222,0,,0.0,0.0
107,6.4,,,,,1,1.0,0.0,0.0
108,14.7,,,,5.789986371353659,1,0.0,0.0,0.0
109,13.2,,,,9.583513299335246,1,0.0,338.9072191321794,-35.66305719101596
110,7.5,,,,6.099244694454047,0,,2749.195156492234,-31.65203145549145
111,5.2,,,,10.312588249052837,0,,0.0,0.0
112,8.3,,,,,0,,195.2062641988034,-61.57438653475412
113,8.3,,,,,0,,125.36439907006233,-53.91712530959049
114,9.3,,,,11.68471457660086,0,,108.62031551333696,-45.87045625505731
115,9.3,,,,,0,,0.0,0.0
116,9.8,,,,7.256769713815428,0,,0.0,0.0
117,8.7,,,,6.9167465701895035,0,,-4.912491158957852,0.0
118,8.1,,,,22.15045814367991,0,,1290.7722213005175,-125.88858773558951
119,8.1,,,,,0,,0.0,0.0
120,10.4,,,,11.158743166345554,0,,8.057405171499774,-18.15564324633147
121,10.9,,,,17.562395302727083,0,,1757.470508234475,-39.18982288880179
122,11.8,,,,,0,,0.0,0.0
123,11.4,,,,,0,,4.435457919138381,-157.19644350917073
124,11.4,,,,7.630926371769558,0,,0.0,0.0
125,11.0,,,,6.069188268754491,0,,0.0,0.0
